Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1910,4,101,320,5636,30762,297706
BOS,"Boston, MA: Logan International",345,1,41,179,1282,8433,65473
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",315,3,20,56,759,7315,34100
CLT,"Charlotte, NC: Charlotte Douglas International",279,3,17,69,1367,8948,58557
DCA,"Washington, DC: Ronald Reagan Washington National",248,1,30,130,924,6424,41111
DEN,"Denver, CO: Denver International",893,2,52,152,2528,17977,117788
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",915,4,65,323,2181,19756,115861
DTW,"Detroit, MI: Detroit Metro Wayne County",515,3,59,146,1521,11163,81051
EWR,"Newark, NJ: Newark Liberty International",378,4,88,350,3768,9476,303526
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",283,2,20,15,833,5260,40448
IAD,"Washington, DC: Washington Dulles International",203,0,14,85,703,5057,40446
IAH,"Houston, TX: George Bush Intercontinental/Houston",441,5,40,36,1570,13157,69876
JFK,"New York, NY: John F. Kennedy International",337,0,50,96,1663,8480,91176
LAS,"Las Vegas, NV: McCarran International",671,4,36,69,2098,11849,90356
LAX,"Los Angeles, CA: Los Angeles International",887,5,35,182,2581,14450,119178
LGA,"New York, NY: LaGuardia",276,1,104,369,2187,8051,128503
MCO,"Orlando, FL: Orlando International",437,3,34,20,1268,9633,63129
MDW,"Chicago, IL: Chicago Midway International",239,2,20,43,586,5758,26597
MIA,"Miami, FL: Miami International",254,0,18,45,834,5077,41731
MSP,"Minneapolis, MN: Minneapolis-St Paul International",337,2,68,125,1431,8838,81791
ORD,"Chicago, IL: Chicago O'Hare International",1130,3,95,657,3696,23916,243765
PDX,"Portland, OR: Portland International",254,0,13,23,567,3879,25108
PHL,"Philadelphia, PA: Philadelphia International",278,2,41,107,1225,7087,63949
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",579,5,39,136,2337,14162,100412
SAN,"San Diego, CA: San Diego International",408,2,25,59,1257,6325,54697
SEA,"Seattle, WA: Seattle/Tacoma International",405,5,18,40,1144,7200,54427
SFO,"San Francisco, CA: San Francisco International",732,2,91,249,3599,10016,271442
SLC,"Salt Lake City, UT: Salt Lake City International",522,3,24,76,1200,9995,52300
TPA,"Tampa, FL: Tampa International",225,1,17,7,664,5628,30327
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3914,1,266,1402,11059,35669,683696
BOS,"Boston, MA: Logan International",531,2,67,396,1838,9563,99342
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",590,6,30,142,1252,8626,60539
CLT,"Charlotte, NC: Charlotte Douglas International",431,5,57,223,2046,9967,97593
DCA,"Washington, DC: Ronald Reagan Washington National",398,2,34,201,1224,7021,57010
DEN,"Denver, CO: Denver International",1377,5,111,571,3356,20593,175269
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1519,1,133,504,3665,21993,237187
DTW,"Detroit, MI: Detroit Metro Wayne County",555,2,84,197,1682,12930,87624
EWR,"Newark, NJ: Newark Liberty International",521,5,105,476,4133,10880,313705
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",447,3,36,64,1180,6161,61008
IAD,"Washington, DC: Washington Dulles International",292,1,40,178,989,5775,59856
IAH,"Houston, TX: George Bush Intercontinental/Houston",982,3,110,167,2962,15195,165375
JFK,"New York, NY: John F. Kennedy International",411,3,46,295,1929,9595,117758
LAS,"Las Vegas, NV: McCarran International",903,5,81,96,2537,13504,126773
LAX,"Los Angeles, CA: Los Angeles International",1004,8,52,226,2640,16405,127264
LGA,"New York, NY: LaGuardia",419,1,103,452,2782,8876,157718
MCO,"Orlando, FL: Orlando International",727,11,43,90,1955,11341,99290
MDW,"Chicago, IL: Chicago Midway International",485,3,71,45,1013,7091,53463
MIA,"Miami, FL: Miami International",348,2,41,69,1159,5742,61276
MSP,"Minneapolis, MN: Minneapolis-St Paul International",432,3,33,171,1605,10207,78192
ORD,"Chicago, IL: Chicago O'Hare International",1514,3,115,743,4835,26964,325496
PDX,"Portland, OR: Portland International",310,0,10,21,788,4410,35801
PHL,"Philadelphia, PA: Philadelphia International",434,5,75,218,1645,8082,102323
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",741,4,57,171,2546,16209,112566
SAN,"San Diego, CA: San Diego International",476,1,40,70,1268,7052,56470
SEA,"Seattle, WA: Seattle/Tacoma International",561,6,35,85,1770,8102,81636
SFO,"San Francisco, CA: San Francisco International",787,5,55,175,2892,11296,165367
SLC,"Salt Lake City, UT: Salt Lake City International",609,3,39,105,1470,11207,69138
TPA,"Tampa, FL: Tampa International",464,5,28,54,1172,6733,59303
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3061,3,192,679,8923,34417,569348
BOS,"Boston, MA: Logan International",547,1,90,229,1911,9606,108986
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",571,1,47,42,1318,8505,68138
CLT,"Charlotte, NC: Charlotte Douglas International",355,2,40,88,1688,9584,82322
DCA,"Washington, DC: Ronald Reagan Washington National",380,2,49,122,1216,6861,63480
DEN,"Denver, CO: Denver International",1182,2,102,364,3063,19127,157627
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1967,0,193,550,4847,21545,336067
DTW,"Detroit, MI: Detroit Metro Wayne County",620,2,54,116,1982,13110,107090
EWR,"Newark, NJ: Newark Liberty International",660,5,126,294,4570,10544,379650
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",415,3,29,36,1255,5638,71677
IAD,"Washington, DC: Washington Dulles International",213,0,27,67,837,5558,50623
IAH,"Houston, TX: George Bush Intercontinental/Houston",774,8,140,250,3120,14744,241238
JFK,"New York, NY: John F. Kennedy International",501,3,81,415,2761,9659,207530
LAS,"Las Vegas, NV: McCarran International",795,4,55,65,2116,13078,101832
LAX,"Los Angeles, CA: Los Angeles International",905,7,52,142,2282,15735,122543
LGA,"New York, NY: LaGuardia",389,2,120,359,2734,8372,194118
MCO,"Orlando, FL: Orlando International",780,2,46,39,2075,10790,116739
MDW,"Chicago, IL: Chicago Midway International",534,4,14,23,946,7121,47360
MIA,"Miami, FL: Miami International",397,1,27,29,1353,5459,77391
MSP,"Minneapolis, MN: Minneapolis-St Paul International",335,4,31,78,1237,9629,58590
ORD,"Chicago, IL: Chicago O'Hare International",1344,1,119,636,4587,25871,313352
PDX,"Portland, OR: Portland International",270,0,9,20,624,4298,31190
PHL,"Philadelphia, PA: Philadelphia International",467,3,127,106,2176,7812,137659
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",774,7,61,117,2284,15520,114671
SAN,"San Diego, CA: San Diego International",484,4,26,33,1074,6824,50589
SEA,"Seattle, WA: Seattle/Tacoma International",437,4,29,26,1465,7929,68368
SFO,"San Francisco, CA: San Francisco International",687,1,55,112,2406,10990,145338
SLC,"Salt Lake City, UT: Salt Lake City International",492,2,20,78,1188,10741,53614
TPA,"Tampa, FL: Tampa International",419,5,29,23,1143,6303,61054
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3211,2,193,241,10324,35135,511190
BOS,"Boston, MA: Logan International",521,1,73,164,1820,9310,105762
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",624,9,77,35,1425,8847,73471
CLT,"Charlotte, NC: Charlotte Douglas International",399,3,85,65,2267,9977,106447
DCA,"Washington, DC: Ronald Reagan Washington National",296,1,69,84,1154,6899,55533
DEN,"Denver, CO: Denver International",986,3,85,122,2975,19761,140527
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1892,4,149,475,4156,22327,259403
DTW,"Detroit, MI: Detroit Metro Wayne County",480,2,51,79,1727,12993,86212
EWR,"Newark, NJ: Newark Liberty International",494,2,106,181,3393,10216,259354
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",354,0,19,16,1210,4980,54649
IAD,"Washington, DC: Washington Dulles International",240,2,47,52,1081,5644,61372
IAH,"Houston, TX: George Bush Intercontinental/Houston",511,7,52,22,1599,15187,81733
JFK,"New York, NY: John F. Kennedy International",556,6,157,114,3326,10964,194206
LAS,"Las Vegas, NV: McCarran International",722,3,34,55,1759,13345,78033
LAX,"Los Angeles, CA: Los Angeles International",912,4,62,136,2064,16204,103812
LGA,"New York, NY: LaGuardia",375,1,161,283,2998,8489,169987
MCO,"Orlando, FL: Orlando International",694,4,40,32,2076,10498,102864
MDW,"Chicago, IL: Chicago Midway International",543,4,18,32,1027,7322,47183
MIA,"Miami, FL: Miami International",429,1,52,32,1521,5510,81439
MSP,"Minneapolis, MN: Minneapolis-St Paul International",369,12,37,76,1424,10347,66970
ORD,"Chicago, IL: Chicago O'Hare International",1240,4,121,455,4002,26509,242910
PDX,"Portland, OR: Portland International",294,0,13,20,804,4478,36118
PHL,"Philadelphia, PA: Philadelphia International",460,1,123,115,2334,8156,138310
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",721,7,39,161,1974,15716,91073
SAN,"San Diego, CA: San Diego International",451,1,17,35,1002,7178,45573
SEA,"Seattle, WA: Seattle/Tacoma International",438,6,23,14,1539,8697,65311
SFO,"San Francisco, CA: San Francisco International",769,4,68,101,3481,11491,213638
SLC,"Salt Lake City, UT: Salt Lake City International",320,3,12,39,942,10956,39271
TPA,"Tampa, FL: Tampa International",416,2,28,10,1169,6005,56087
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3110,3,225,568,7967,36343,483746
BOS,"Boston, MA: Logan International",679,2,126,294,3378,9505,236136
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",829,5,122,83,1933,8910,119471
CLT,"Charlotte, NC: Charlotte Douglas International",448,3,83,79,1929,9956,99524
DCA,"Washington, DC: Ronald Reagan Washington National",423,4,86,195,1573,6815,94556
DEN,"Denver, CO: Denver International",1772,11,217,240,5962,20995,340588
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2142,4,195,684,4682,22343,286235
DTW,"Detroit, MI: Detroit Metro Wayne County",873,6,114,277,2566,13546,152803
EWR,"Newark, NJ: Newark Liberty International",597,2,111,227,3270,10083,270504
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",387,0,34,29,1163,4777,64477
IAD,"Washington, DC: Washington Dulles International",333,0,57,145,1311,5962,92160
IAH,"Houston, TX: George Bush Intercontinental/Houston",701,5,78,39,1700,15783,98937
JFK,"New York, NY: John F. Kennedy International",757,1,156,283,3562,10980,243954
LAS,"Las Vegas, NV: McCarran International",1103,5,66,88,2700,13020,131840
LAX,"Los Angeles, CA: Los Angeles International",1365,9,90,172,3670,16551,191278
LGA,"New York, NY: LaGuardia",498,4,187,464,3134,8524,208610
MCO,"Orlando, FL: Orlando International",824,4,74,47,2139,10273,129729
MDW,"Chicago, IL: Chicago Midway International",707,6,73,12,1304,7248,74393
MIA,"Miami, FL: Miami International",516,4,108,66,1600,5246,104569
MSP,"Minneapolis, MN: Minneapolis-St Paul International",699,4,65,118,2201,11108,117681
ORD,"Chicago, IL: Chicago O'Hare International",1777,6,174,811,5672,26907,405787
PDX,"Portland, OR: Portland International",358,3,18,18,814,4624,40624
PHL,"Philadelphia, PA: Philadelphia International",601,2,164,146,2532,8210,157513
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",996,14,62,155,2930,15425,142750
SAN,"San Diego, CA: San Diego International",706,4,24,63,1755,7296,84950
SEA,"Seattle, WA: Seattle/Tacoma International",618,5,36,32,1761,9379,85058
SFO,"San Francisco, CA: San Francisco International",1129,4,67,118,3754,12033,236256
SLC,"Salt Lake City, UT: Salt Lake City International",831,1,36,54,2177,11972,101688
TPA,"Tampa, FL: Tampa International",460,2,53,21,1170,5680,68060
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3906,6,258,482,10482,38241,691581
BOS,"Boston, MA: Logan International",705,3,121,326,2810,9910,210165
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",813,1,94,53,1893,9171,104911
CLT,"Charlotte, NC: Charlotte Douglas International",397,4,65,86,1936,10172,94988
DCA,"Washington, DC: Ronald Reagan Washington National",446,4,75,158,1373,6938,76565
DEN,"Denver, CO: Denver International",1559,7,162,171,4674,21627,233955
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2509,4,231,420,5326,23241,316954
DTW,"Detroit, MI: Detroit Metro Wayne County",1063,8,77,198,2696,13897,152658
EWR,"Newark, NJ: Newark Liberty International",599,2,103,206,2989,10157,239072
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",417,3,34,16,1215,5068,68518
IAD,"Washington, DC: Washington Dulles International",294,1,53,94,1114,6170,69923
IAH,"Houston, TX: George Bush Intercontinental/Houston",972,11,120,86,2764,16753,171497
JFK,"New York, NY: John F. Kennedy International",726,2,98,395,3184,11410,227920
LAS,"Las Vegas, NV: McCarran International",1058,9,65,82,2497,13378,114873
LAX,"Los Angeles, CA: Los Angeles International",1188,7,86,158,3112,17463,163508
LGA,"New York, NY: LaGuardia",537,0,140,413,2500,9005,177836
MCO,"Orlando, FL: Orlando International",883,3,57,32,2289,10649,130532
MDW,"Chicago, IL: Chicago Midway International",677,3,37,13,1231,7554,57889
MIA,"Miami, FL: Miami International",468,3,82,52,1563,5447,94909
MSP,"Minneapolis, MN: Minneapolis-St Paul International",667,5,69,88,2168,11803,112597
ORD,"Chicago, IL: Chicago O'Hare International",1473,2,142,423,4241,27567,241627
PDX,"Portland, OR: Portland International",351,5,20,9,903,4816,44366
PHL,"Philadelphia, PA: Philadelphia International",486,1,121,100,2027,8347,111693
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",832,13,67,156,2591,15979,119665
SAN,"San Diego, CA: San Diego International",613,1,34,31,1448,7553,66262
SEA,"Seattle, WA: Seattle/Tacoma International",564,6,34,23,1798,9817,84842
SFO,"San Francisco, CA: San Francisco International",1090,6,66,138,3186,12516,179207
SLC,"Salt Lake City, UT: Salt Lake City International",730,5,29,51,1824,12642,83661
TPA,"Tampa, FL: Tampa International",455,2,45,18,1203,5835,63363
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3487,5,271,438,9980,37499,564003
BOS,"Boston, MA: Logan International",568,1,72,187,2144,9701,132433
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",716,2,115,37,1836,8916,106485
CLT,"Charlotte, NC: Charlotte Douglas International",410,2,73,138,2119,10025,107693
DCA,"Washington, DC: Ronald Reagan Washington National",367,0,57,123,1286,6695,68845
DEN,"Denver, CO: Denver International",1299,13,90,137,3312,21343,164858
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1840,9,306,268,4079,23267,231901
DTW,"Detroit, MI: Detroit Metro Wayne County",1049,4,73,170,2783,13279,160412
EWR,"Newark, NJ: Newark Liberty International",544,5,85,124,2781,10033,199789
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",348,4,28,13,1105,5002,56904
IAD,"Washington, DC: Washington Dulles International",256,0,55,80,1113,6055,69036
IAH,"Houston, TX: George Bush Intercontinental/Houston",601,5,73,40,1984,16796,111895
JFK,"New York, NY: John F. Kennedy International",657,2,113,307,3104,11296,200428
LAS,"Las Vegas, NV: McCarran International",790,9,47,62,1866,13248,90527
LAX,"Los Angeles, CA: Los Angeles International",1044,6,76,113,2674,17273,142871
LGA,"New York, NY: LaGuardia",418,4,101,271,2231,8851,141543
MCO,"Orlando, FL: Orlando International",724,6,56,31,2109,10235,114118
MDW,"Chicago, IL: Chicago Midway International",601,3,71,26,1284,7358,71932
MIA,"Miami, FL: Miami International",388,5,66,50,1267,5392,70947
MSP,"Minneapolis, MN: Minneapolis-St Paul International",728,6,129,160,2570,11005,151148
ORD,"Chicago, IL: Chicago O'Hare International",1713,16,194,480,5442,27575,338463
PDX,"Portland, OR: Portland International",281,2,20,9,659,4772,30917
PHL,"Philadelphia, PA: Philadelphia International",468,4,92,69,1968,8083,114083
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",695,15,52,123,2024,15669,96004
SAN,"San Diego, CA: San Diego International",445,5,37,20,1128,7382,54085
SEA,"Seattle, WA: Seattle/Tacoma International",469,8,37,17,1416,9648,65388
SFO,"San Francisco, CA: San Francisco International",963,8,65,141,2862,12470,164528
SLC,"Salt Lake City, UT: Salt Lake City International",625,5,26,54,1509,12268,66292
TPA,"Tampa, FL: Tampa International",409,4,31,17,1048,5637,54090
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2091,1,148,265,8260,34017,488406
BOS,"Boston, MA: Logan International",263,1,29,70,1372,8920,64608
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",402,2,16,14,856,8132,38740
CLT,"Charlotte, NC: Charlotte Douglas International",186,1,21,38,1174,9347,48234
DCA,"Washington, DC: Ronald Reagan Washington National",164,3,32,40,659,6298,29259
DEN,"Denver, CO: Denver International",736,1,116,88,2089,18901,95216
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1194,3,93,178,2984,21912,173138
DTW,"Detroit, MI: Detroit Metro Wayne County",459,0,18,64,1661,12114,73730
EWR,"Newark, NJ: Newark Liberty International",212,1,29,62,1366,9073,77650
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",138,1,14,14,586,4361,26125
IAD,"Washington, DC: Washington Dulles International",142,1,22,51,647,5116,33322
IAH,"Houston, TX: George Bush Intercontinental/Houston",358,3,27,28,1882,14533,71344
JFK,"New York, NY: John F. Kennedy International",159,2,32,15,1673,9428,84274
LAS,"Las Vegas, NV: McCarran International",435,2,12,28,1098,12546,47116
LAX,"Los Angeles, CA: Los Angeles International",532,2,32,103,1384,15624,67340
LGA,"New York, NY: LaGuardia",211,1,45,130,1160,7938,64880
MCO,"Orlando, FL: Orlando International",276,2,14,25,915,8620,41892
MDW,"Chicago, IL: Chicago Midway International",386,3,30,21,778,7056,32420
MIA,"Miami, FL: Miami International",231,3,29,21,793,4842,40731
MSP,"Minneapolis, MN: Minneapolis-St Paul International",299,1,48,62,1675,9419,75948
ORD,"Chicago, IL: Chicago O'Hare International",922,2,156,287,2868,25917,162327
PDX,"Portland, OR: Portland International",153,1,7,7,373,4266,17519
PHL,"Philadelphia, PA: Philadelphia International",246,2,47,63,1261,7321,69912
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",450,3,18,68,1291,14497,58214
SAN,"San Diego, CA: San Diego International",242,2,28,31,664,6636,27558
SEA,"Seattle, WA: Seattle/Tacoma International",209,2,9,11,754,8414,32562
SFO,"San Francisco, CA: San Francisco International",502,5,28,103,1594,11217,86796
SLC,"Salt Lake City, UT: Salt Lake City International",334,7,21,27,943,10298,46770
TPA,"Tampa, FL: Tampa International",202,0,18,7,583,4912,26437
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2761,4,170,211,10016,35768,532243
BOS,"Boston, MA: Logan International",429,0,40,105,1543,9220,87241
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",598,3,20,28,1181,8484,51330
CLT,"Charlotte, NC: Charlotte Douglas International",378,2,30,67,1688,10018,73825
DCA,"Washington, DC: Ronald Reagan Washington National",350,0,28,51,916,6658,41850
DEN,"Denver, CO: Denver International",1705,7,145,368,4433,19403,219202
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2243,3,158,389,5778,22625,323319
DTW,"Detroit, MI: Detroit Metro Wayne County",699,4,39,77,2327,12531,106547
EWR,"Newark, NJ: Newark Liberty International",487,8,49,113,2480,9600,171043
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",262,2,18,8,766,4792,33654
IAD,"Washington, DC: Washington Dulles International",173,1,22,52,784,5282,40644
IAH,"Houston, TX: George Bush Intercontinental/Houston",983,8,73,147,4104,15468,208858
JFK,"New York, NY: John F. Kennedy International",337,1,32,44,1633,9523,88758
LAS,"Las Vegas, NV: McCarran International",1038,7,33,65,2909,13034,113034
LAX,"Los Angeles, CA: Los Angeles International",1259,8,50,152,3542,16233,154801
LGA,"New York, NY: LaGuardia",371,1,88,141,1733,8282,98058
MCO,"Orlando, FL: Orlando International",518,4,17,15,1329,9403,64315
MDW,"Chicago, IL: Chicago Midway International",636,4,9,39,1237,7231,55336
MIA,"Miami, FL: Miami International",289,1,12,23,838,5057,45210
MSP,"Minneapolis, MN: Minneapolis-St Paul International",774,1,374,351,4212,9755,300935
ORD,"Chicago, IL: Chicago O'Hare International",1809,7,93,383,5469,26759,315678
PDX,"Portland, OR: Portland International",360,3,11,18,983,4301,43893
PHL,"Philadelphia, PA: Philadelphia International",390,0,93,81,1657,7689,93552
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",990,8,51,120,3202,15127,140189
SAN,"San Diego, CA: San Diego International",617,6,20,60,1555,6832,62505
SEA,"Seattle, WA: Seattle/Tacoma International",472,6,15,22,1605,8453,66871
SFO,"San Francisco, CA: San Francisco International",951,5,56,177,3458,11663,225337
SLC,"Salt Lake City, UT: Salt Lake City International",703,5,31,61,2021,10457,85392
TPA,"Tampa, FL: Tampa International",327,1,18,4,819,5363,35309
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1808,1,80,244,6669,33915,326952
BOS,"Boston, MA: Logan International",313,0,12,77,1312,8877,59431
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",401,0,8,21,876,8074,37459
CLT,"Charlotte, NC: Charlotte Douglas International",269,2,17,44,1268,9548,51954
DCA,"Washington, DC: Ronald Reagan Washington National",208,1,9,44,701,6322,29192
DEN,"Denver, CO: Denver International",461,3,25,102,1188,17964,59964
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",995,2,49,161,2358,21728,122454
DTW,"Detroit, MI: Detroit Metro Wayne County",337,2,32,50,1127,12299,59918
EWR,"Newark, NJ: Newark Liberty International",286,3,37,92,1928,9320,139188
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",215,1,6,10,700,5214,31960
IAD,"Washington, DC: Washington Dulles International",116,0,15,36,667,5042,31862
IAH,"Houston, TX: George Bush Intercontinental/Houston",363,3,17,36,1342,14971,55049
JFK,"New York, NY: John F. Kennedy International",207,1,27,13,1109,9300,57290
LAS,"Las Vegas, NV: McCarran International",266,2,7,38,803,12275,34792
LAX,"Los Angeles, CA: Los Angeles International",459,1,30,107,1251,15469,61251
LGA,"New York, NY: LaGuardia",253,0,60,106,1437,7709,70698
MCO,"Orlando, FL: Orlando International",399,1,4,24,1085,9606,48093
MDW,"Chicago, IL: Chicago Midway International",274,0,1,31,572,6968,24245
MIA,"Miami, FL: Miami International",231,0,7,19,753,5182,40433
MSP,"Minneapolis, MN: Minneapolis-St Paul International",194,2,9,31,660,9109,31917
ORD,"Chicago, IL: Chicago O'Hare International",624,1,37,150,1991,24925,100395
PDX,"Portland, OR: Portland International",90,2,10,8,283,3982,14752
PHL,"Philadelphia, PA: Philadelphia International",187,1,51,48,1203,7193,73255
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",292,4,10,79,965,14692,45175
SAN,"San Diego, CA: San Diego International",170,2,20,54,508,6371,22348
SEA,"Seattle, WA: Seattle/Tacoma International",185,0,8,28,643,7591,28434
SFO,"San Francisco, CA: San Francisco International",326,1,13,82,1138,10936,69489
SLC,"Salt Lake City, UT: Salt Lake City International",221,3,13,47,593,9912,26981
TPA,"Tampa, FL: Tampa International",246,1,5,14,677,5449,28390
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2789,10,260,778,9660,34122,563354
BOS,"Boston, MA: Logan International",651,0,89,345,1799,8733,101324
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",901,7,79,332,1853,8264,105106
CLT,"Charlotte, NC: Charlotte Douglas International",499,5,88,282,2297,9874,112363
DCA,"Washington, DC: Ronald Reagan Washington National",401,2,80,411,1198,6324,67874
DEN,"Denver, CO: Denver International",1885,10,199,397,4442,19064,238814
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2166,12,260,762,5232,22473,311046
DTW,"Detroit, MI: Detroit Metro Wayne County",933,9,98,314,2916,12807,155859
EWR,"Newark, NJ: Newark Liberty International",676,7,108,448,3192,9586,217785
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",558,14,59,115,1914,5839,92964
IAD,"Washington, DC: Washington Dulles International",306,1,58,357,1120,5362,66229
IAH,"Houston, TX: George Bush Intercontinental/Houston",1197,15,178,392,4521,16169,215601
JFK,"New York, NY: John F. Kennedy International",764,4,110,500,2338,9854,156122
LAS,"Las Vegas, NV: McCarran International",1132,8,88,153,2700,12232,133141
LAX,"Los Angeles, CA: Los Angeles International",1353,14,138,252,3655,16268,184760
LGA,"New York, NY: LaGuardia",526,1,129,380,1900,7891,104702
MCO,"Orlando, FL: Orlando International",1042,14,91,172,3046,10358,153255
MDW,"Chicago, IL: Chicago Midway International",813,12,116,146,1926,7173,99503
MIA,"Miami, FL: Miami International",488,16,98,110,1716,5770,90759
MSP,"Minneapolis, MN: Minneapolis-St Paul International",774,7,105,265,2172,9400,114412
ORD,"Chicago, IL: Chicago O'Hare International",2294,17,263,1399,7340,25716,551151
PDX,"Portland, OR: Portland International",394,2,25,40,924,4205,46594
PHL,"Philadelphia, PA: Philadelphia International",560,4,90,398,1791,7425,114909
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1067,13,129,242,3112,15617,146311
SAN,"San Diego, CA: San Diego International",624,6,46,103,1530,6561,70135
SEA,"Seattle, WA: Seattle/Tacoma International",511,5,52,45,1355,7828,69571
SFO,"San Francisco, CA: San Francisco International",969,9,106,255,3168,11402,203884
SLC,"Salt Lake City, UT: Salt Lake City International",1171,6,86,190,2748,10334,140089
TPA,"Tampa, FL: Tampa International",573,10,55,86,1739,5943,86976
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",1837,9,234,1148,5908,33729,385173
BOS,"Boston, MA: Logan International",514,8,63,279,1989,8912,116343
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",647,7,48,117,1549,7935,67751
CLT,"Charlotte, NC: Charlotte Douglas International",414,5,58,325,1813,9864,83586
DCA,"Washington, DC: Ronald Reagan Washington National",261,8,39,230,1063,6369,50035
DEN,"Denver, CO: Denver International",1134,13,103,307,2680,18999,141178
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1519,10,166,590,3550,22556,193306
DTW,"Detroit, MI: Detroit Metro Wayne County",777,17,64,288,2793,12738,141855
EWR,"Newark, NJ: Newark Liberty International",452,9,62,225,2528,9371,164889
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",386,9,35,48,1276,5750,64936
IAD,"Washington, DC: Washington Dulles International",262,3,54,132,1098,5738,63482
IAH,"Houston, TX: George Bush Intercontinental/Houston",719,16,75,214,2366,15194,111814
JFK,"New York, NY: John F. Kennedy International",477,3,58,210,2007,9562,133503
LAS,"Las Vegas, NV: McCarran International",710,16,118,131,1852,11915,110648
LAX,"Los Angeles, CA: Los Angeles International",1077,20,64,314,2626,16064,136435
LGA,"New York, NY: LaGuardia",344,3,81,363,1537,8045,92230
MCO,"Orlando, FL: Orlando International",641,13,41,85,2012,10062,98368
MDW,"Chicago, IL: Chicago Midway International",517,8,54,173,1276,6708,56908
MIA,"Miami, FL: Miami International",383,8,52,96,1317,5828,65177
MSP,"Minneapolis, MN: Minneapolis-St Paul International",451,8,41,182,1549,9328,81884
ORD,"Chicago, IL: Chicago O'Hare International",1760,7,170,927,5164,25460,279701
PDX,"Portland, OR: Portland International",265,5,13,38,537,4042,26311
