Airport.Code,Airport.Name,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Total,Statistics.Minutes Delayed.Total
DCA,"Washington, DC: Ronald Reagan Washington National",565,3,56,152,1928,7940,90392
DEN,"Denver, CO: Denver International",1364,20,91,317,4163,19935,211145
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1908,13,298,364,5151,25713,266243
DTW,"Detroit, MI: Detroit Metro Wayne County",914,9,152,351,3574,11591,175188
EWR,"Newark, NJ: Newark Liberty International",1074,4,129,366,4679,13468,326392
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",403,4,15,29,1037,5199,50130
IAD,"Washington, DC: Washington Dulles International",802,5,64,150,1865,8451,118909
IAH,"Houston, TX: George Bush Intercontinental/Houston",1250,10,128,488,4572,19053,340044
JFK,"New York, NY: John F. Kennedy International",745,12,194,157,2863,10296,158719
LAS,"Las Vegas, NV: McCarran International",1426,16,78,140,4069,15909,185270
LAX,"Los Angeles, CA: Los Angeles International",1532,22,88,318,5049,19974,229203
LGA,"New York, NY: LaGuardia",819,3,178,319,3967,10789,217583
MCO,"Orlando, FL: Orlando International",643,4,39,54,1675,9596,84646
MDW,"Chicago, IL: Chicago Midway International",721,6,57,92,1703,8677,80412
MIA,"Miami, FL: Miami International",336,0,22,29,886,5110,51613
MSP,"Minneapolis, MN: Minneapolis-St Paul International",674,11,77,177,2573,10782,121375
ORD,"Chicago, IL: Chicago O'Hare International",2824,18,165,1543,10412,32244,816319
PDX,"Portland, OR: Portland International",420,8,20,40,1030,5009,46409
PHL,"Philadelphia, PA: Philadelphia International",666,0,87,138,2451,9083,135727
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1152,20,81,211,3938,18272,170066
SAN,"San Diego, CA: San Diego International",593,5,26,89,1698,7912,67715
SEA,"Seattle, WA: Seattle/Tacoma International",717,7,32,98,2042,9039,98417
SFO,"San Francisco, CA: San Francisco International",815,9,33,195,2894,11231,156059
SLC,"Salt Lake City, UT: Salt Lake City International",679,23,61,128,1856,11997,89479
TPA,"Tampa, FL: Tampa International",475,1,16,17,1124,6230,52198
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2371,6,325,467,8290,33691,397996
BOS,"Boston, MA: Logan International",797,2,151,252,2972,11012,161489
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",713,5,45,67,1666,8897,80116
CLT,"Charlotte, NC: Charlotte Douglas International",686,2,48,98,2448,9951,105750
DCA,"Washington, DC: Ronald Reagan Washington National",493,1,89,149,1887,7499,82912
DEN,"Denver, CO: Denver International",1018,12,91,230,2866,18580,141512
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1469,3,214,750,3705,24445,235289
DTW,"Detroit, MI: Detroit Metro Wayne County",819,7,107,134,2963,10867,133710
EWR,"Newark, NJ: Newark Liberty International",739,8,131,350,4896,12952,382379
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",381,3,15,21,1238,5419,58806
IAD,"Washington, DC: Washington Dulles International",688,5,46,154,2069,8621,109253
IAH,"Houston, TX: George Bush Intercontinental/Houston",893,8,80,158,2869,18319,158279
JFK,"New York, NY: John F. Kennedy International",850,5,184,184,3430,10097,223560
LAS,"Las Vegas, NV: McCarran International",1155,16,45,104,2841,15063,123753
LAX,"Los Angeles, CA: Los Angeles International",1335,12,108,296,3857,19067,178490
LGA,"New York, NY: LaGuardia",637,3,181,372,3785,10308,228738
MCO,"Orlando, FL: Orlando International",650,4,19,29,1694,9484,81098
MDW,"Chicago, IL: Chicago Midway International",589,8,36,93,1354,8331,63923
MIA,"Miami, FL: Miami International",286,1,22,21,1041,5063,52129
MSP,"Minneapolis, MN: Minneapolis-St Paul International",640,13,66,94,1947,10517,97375
ORD,"Chicago, IL: Chicago O'Hare International",2139,7,141,969,7536,30537,489666
